Campaign,Campaign Type,Networks,Budget,Budget type,Bid Strategy Type,Campaign Status,Ad Group,Ad Group Status,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
03 – Donate & Support,Search,Google search,50,Daily,Maximize clicks,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,donate to youth sports,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,youth sports charity san diego,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,donate youth soccer san diego,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,support kids sports san diego,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,san diego youth nonprofit donate,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,donate to youth soccer,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,youth soccer charity,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,sponsor a child sports,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,sponsor a kid soccer,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,monthly giving youth sports,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,fund a kid's sports season,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,sponsor a youth athlete,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,sponsor a child soccer,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,,,Enabled,Responsive search ad,https://grassrootsfdn.org/donate,donate,youth-soccer,Help Kids Play Club Soccer,Donate to Youth Soccer,San Diego Youth Soccer Charity,Fund a Kid's Soccer Season,Tax-Deductible 501(c)(3) Gift,$60 Buys a Pair of Cleats,Give Monthly or One Time,Grassroots Foundation,Help Fund Our First 100 Kids,No Platform Fees on Gifts,,,,,,"We pay club soccer tuition, kits, and gear for San Diego kids whose families need help.","Help fund our first 100 players this season. Give once or monthly, with no platform fees.",A San Diego County 501(c)(3). Your gift is tax-deductible and receipted automatically.,
03 – Donate & Support,,,,,,,3A — Donate to youth sports,,,,Enabled,Responsive search ad,https://grassrootsfdn.org/donate,donate,san-diego,Every Kid Deserves a Team,Help a Kid Stay on the Team,Donate to a Youth Charity,$200 Covers a Season of Kit,"$2,500 Funds a Full Season",Give to Kids in San Diego,Support Youth Sports Today,Grassroots Foundation,,,,,,,,"Club tuition runs $2,000 to $5,000 a season. Your gift helps a kid play with their team.","$60 buys cleats, $200 covers a season of kit, and $2,500 pays a full season of tuition.",,
03 – Donate & Support,,,,,,,3B — Monthly giving,,,,Enabled,Responsive search ad,https://grassrootsfdn.org/donate,give,monthly,Sponsor a Kid's Soccer Season,Give Monthly to Youth Sports,Help a Kid Play All Year,Monthly Giving in San Diego,Sponsor a Young Athlete,"Cancel Anytime, Tax-Deductible",Grassroots Foundation,Join Our Monthly Donors,Fund a Kid's Club Season,,,,,,,"Your monthly gift covers tuition, kits, and gear so a San Diego kid can play all season.",Join our monthly donors and help fund our first 100 players. Cancel anytime.,,
03 – Donate & Support,,,,,,,3B — Monthly giving,,,,Enabled,Responsive search ad,https://grassrootsfdn.org/donate,give,monthly,Every Kid Deserves a Team,Help a Kid Stay on the Team,Monthly Gifts for Kids,"Give Monthly, Change a Season",Support a Player Every Month,San Diego Youth Soccer Charity,Tax-Deductible Monthly Gift,Grassroots Foundation,,,,,,,,A monthly gift is the steadiest way to keep a kid in club soccer all year long.,"We pay tuition, kits, and gear at San Diego County clubs. Tax-deductible, no fees.",,
04 – Brand & Verification,,,,,,,4A – Brand terms,,,,Enabled,Responsive search ad,https://grassrootsfdn.org/,,,Grassroots Foundation,San Diego Youth Soccer Charity,Official Site,Help Kids Play Club Soccer,501(c)(3) Public Charity,Donate or Apply for Help,,,,,,,,,,"We pay club soccer tuition, kits, and gear for San Diego kids whose families need help.","Donate, apply for a scholarship, or partner with us. EIN 35-2822183.",,
04 – Brand & Verification,,,,,,,4B – Verification and transparency,,,,Enabled,Responsive search ad,https://grassrootsfdn.org/990,,,Grassroots Foundation 990,EIN 35-2822183,501(c)(3) Public Charity,Where the Money Goes,Candid Platinum Seal,Verify Our Nonprofit Status,,,,,,,,,,"Our IRS status, EIN, and financials are public. See where every donated dollar goes.",Grassroots Foundation is a San Diego County 501(c)(3) funding kids in club soccer.,,
